player_id,player_name,height,hand,avg_minutes,avg_aces,avg_df,avg_svpt,avg_first_in,avg_first_won,avg_second_won,avg_sv_gms,avg_bp_saved,avg_bp_faced,Wins,Losses,Matches_Played,Win_Pct,titles_won
106121,Taro Daniel,191,R,116.29,3.91,2.61,79.05,48.98,32.91,14.82,12.21,4.43,7.76,86,142,228,37.72,1
106137,Tristan Lamasine,183,R,93.44,3.11,2.56,76.11,48.44,30.89,14.33,11.33,5.0,8.22,3,6,9,33.33,
106138,Yaraslav Shyla,191,R,112.67,6.17,2.17,89.83,60.33,44.5,14.67,14.17,5.33,7.67,3,4,7,42.86,
106148,Roberto Carballes Baena,183,R,118.02,2.7,2.75,76.3,48.23,32.4,14.21,11.79,4.23,7.28,115,143,258,44.57,2
106162,Franco Agamenone,191,R,121.25,1.0,2.75,76.75,50.25,32.5,13.0,11.25,6.0,9.5,3,2,5,60.0,
106167,Joris De Loore,191,R,111.33,9.17,2.5,84.0,50.83,38.33,17.0,13.17,3.33,5.83,1,5,6,16.669999999999998,
106174,Gonzalo Lama,180,R,102.22,2.0,2.56,70.78,45.11,32.33,13.33,11.22,3.56,5.44,6,5,11,54.55,
106175,Ricardo Rodriguez,189,R,134.59,2.35,2.0,77.82,51.65,34.71,12.65,12.76,4.29,7.76,14,8,22,63.63999999999999,
106177,Oriol Roca Batalla,175,R,118.67,10.33,3.67,95.67,56.67,41.33,20.67,13.33,6.33,8.0,1,2,3,33.33,
106184,Hong Chung,170,L,82.0,1.0,5.0,83.0,57.0,41.0,14.0,14.0,6.0,9.0,0,1,1,0.0,
106186,Jason Kubler,178,R,132.87,6.31,3.56,86.15,53.76,37.76,15.93,13.44,4.09,7.02,27,32,59,45.76,
106187,Denis Yevseyev,188,R,109.75,3.5,3.25,76.75,47.25,33.0,13.0,11.25,6.0,8.75,1,3,4,25.0,
106198,Hugo Dellien,180,R,107.94,2.01,1.89,76.83,55.21,34.54,10.15,11.67,5.21,8.96,31,59,90,34.44,
106203,Pedro Sakamoto,178,R,66.0,2.0,2.0,41.0,25.0,14.0,6.0,8.0,0.0,4.0,0,1,1,0.0,
106210,Jiri Vesely,198,L,118.02,8.55,3.94,83.46,54.21,39.44,14.73,13.21,4.16,6.58,127,148,275,46.18,2
106214,Oscar Otte,193,R,108.62,8.51,4.32,82.54,47.18,35.65,17.29,12.95,4.19,6.76,34,52,86,39.53,
106216,Bjorn Fratangelo,183,R,106.73,5.03,3.37,82.22,46.98,32.15,18.2,12.51,4.47,7.59,22,40,62,35.480000000000004,
106218,Marcos Giron,180,R,112.57,5.22,1.61,79.78,48.57,34.86,15.87,12.5,3.86,6.47,104,117,221,47.06,1
106220,Dimitar Kuzmanov,183,R,106.52,2.86,2.9,73.95,46.9,30.81,13.24,11.1,4.71,7.76,16,19,35,45.71,
106223,Aleksandre Metreveli,183,R,85.67,2.67,3.33,65.83,36.67,22.33,13.17,9.33,3.83,7.83,2,7,9,22.220000000000002,
106225,Andrew Whittington,188,R,128.4,8.8,6.8,93.2,52.2,39.8,20.8,15.0,4.6,7.6,2,3,5,40.0,
106227,Ji Sung Nam,183,R,83.0,5.25,3.5,62.75,37.75,26.25,12.75,9.75,3.0,5.25,2,5,7,28.57,
106228,Juan Ignacio Londero,180,R,114.29,3.71,2.91,82.13,50.28,34.18,16.93,12.95,4.34,7.51,35,48,83,42.17,1
106232,Roberto Cid,193,R,117.86,3.0,5.29,84.14,46.29,31.86,17.14,12.29,5.57,9.43,2,8,10,20.0,
106233,Dominic Thiem,185,R,115.57,5.8,2.82,79.74,48.78,35.9,16.48,12.72,3.7,5.88,321,186,507,63.31,15
106234,Aslan Karatsev,185,R,121.64,5.11,4.44,81.51,48.47,34.81,16.66,12.52,4.3,6.96,79,85,164,48.17,3
106243,Mate Delic,196,R,53.0,4.0,3.0,53.0,33.0,23.0,7.0,8.0,7.0,10.0,0,5,5,0.0,
106247,Nik Razborsek,173,L,143.0,8.0,4.0,116.0,77.0,53.0,20.0,17.0,7.0,9.0,1,2,3,33.33,
106249,Joao Domingues,178,R,109.17,1.42,0.67,79.08,55.0,34.25,11.17,11.5,5.42,8.67,7,7,14,50.0,
106250,Luis Patino,183,R,121.22,3.67,3.22,90.78,54.89,34.44,17.44,13.11,6.78,11.22,3,7,10,30.0,
106252,Joao Pedro Sorgi,188,R,139.5,6.0,3.5,100.5,65.0,49.0,16.5,15.0,7.5,9.5,1,2,3,33.33,
106261,Dennis Novikov,193,R,85.07,7.21,3.43,76.64,42.79,30.71,17.29,11.86,3.64,6.0,4,10,14,28.57,
106281,Liam Broady,183,L,115.69,3.69,2.69,83.78,51.14,33.69,16.02,12.67,5.02,8.65,21,34,55,38.18,
106283,Mitchell Krueger,188,R,113.42,5.13,2.52,78.16,48.81,33.55,14.71,12.19,4.29,7.16,10,21,31,32.26,
106288,Mathias Bourgue,188,R,143.17,4.0,2.17,94.83,61.83,40.67,14.67,14.33,5.17,9.67,1,5,6,16.669999999999998,
106291,Luke Saville,188,R,135.33,5.0,4.67,112.0,70.67,46.33,20.33,16.0,7.67,11.33,0,5,5,0.0,
106292,Hernan Casanova,178,R,81.0,1.0,2.0,69.0,42.0,27.0,12.0,9.0,7.0,10.0,0,1,1,0.0,
